# T24_four_category_v1 | generated 2026-08-16T20:43:09Z | sources derived/cd_conf_classified.parquet sha256=47047c347c1db422 + derived/llama4_stage2_classified.parquet sha256=4b41e1d822ebe8f5 + derived/stage2_classified.parquet sha256=6a3353080dafb189 + derived/stage2b_classified.parquet sha256=3398d8e6234f8082 + config/stimuli_cd.yaml | THE one sanctioned cross-stage read (declared in §10 before C/D collection); stage allowlist enforced in code; pooled rows valid only alongside category rows; stage-1 data never enters
model,category,condition,source_stage,n,k_refusal,refusal_prop,wilson_lo,wilson_hi,k_code_c,k_exits,completion_median,n_compliant,grade,row_kind
sonnet46,ABCD_pooled,exit_prose,join,192,0,0.0,0.0,0.0196,0,0,,,pooled - read only with the category rows above,pooled
sonnet46,ABCD_pooled,exit_both,join,192,0,0.0,0.0,0.0196,0,0,,,pooled - read only with the category rows above,pooled
gpt5_mini,A,none,stage2b,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
gpt5_mini,A,time_schema,stage2b,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
gpt5_mini,A,note_schema,stage2b,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
gpt5_mini,A,exit_schema,stage2b,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
gpt5_mini,A,exit_prose,stage2b,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
gpt5_mini,A,exit_both,stage2b,60,1,0.0167,0.0029,0.0886,0,0,1.0,59.0,n=60,category
gpt5_mini,B,none,stage2b,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
gpt5_mini,B,time_schema,stage2b,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
gpt5_mini,B,note_schema,stage2b,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
gpt5_mini,B,exit_schema,stage2b,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
gpt5_mini,B,exit_prose,stage2b,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
gpt5_mini,B,exit_both,stage2b,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
gpt5_mini,C,none,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
gpt5_mini,C,time_schema,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
gpt5_mini,C,note_schema,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
gpt5_mini,C,exit_schema,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
gpt5_mini,C,exit_prose,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
gpt5_mini,C,exit_both,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
gpt5_mini,D,none,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
gpt5_mini,D,time_schema,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
gpt5_mini,D,note_schema,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
gpt5_mini,D,exit_schema,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
gpt5_mini,D,exit_prose,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
gpt5_mini,D,exit_both,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
gpt5_mini,ABCD_pooled,none,join,192,0,0.0,0.0,0.0196,0,0,,,pooled - read only with the category rows above,pooled
gpt5_mini,ABCD_pooled,time_schema,join,192,0,0.0,0.0,0.0196,0,0,,,pooled - read only with the category rows above,pooled
gpt5_mini,ABCD_pooled,note_schema,join,192,0,0.0,0.0,0.0196,0,0,,,pooled - read only with the category rows above,pooled
